instrument_key,tradingsymbol,name,exchange
BSE_EQ|INE09N301011,FLUOROCHEM,Gujarat Fluorochemicals Limite,BSE_EQ
NSE_EQ|INE569C01020,ORIENTCER,ORIENT CERATECH LIMITED,NSE_EQ
BCD_FO|1026379,USDINR2580189.7CE,USDINR,BCD_FO
NSE_EQ|INE781A01025,INTENTECH,INTENSE TECHNOLOGIES LTD,NSE_EQ
BCD_FO|1026378,USDINR2580189.6PE,USDINR,BCD_FO
BCD_FO|1026377,USDINR2580189.6CE,USDINR,BCD_FO
BCD_FO|1026376,USDINR2580189.4PE,USDINR,BCD_FO
BCD_FO|1026375,USDINR2580189.4CE,USDINR,BCD_FO
BCD_FO|1026374,USDINR2572589.7PE,USDINR,BCD_FO
BCD_FO|1026373,USDINR2572589.7CE,USDINR,BCD_FO
BCD_FO|1026372,USDINR2572589.6PE,USDINR,BCD_FO
BCD_FO|1026371,USDINR2572589.6CE,USDINR,BCD_FO
BCD_FO|1026370,USDINR2572589.4PE,USDINR,BCD_FO
NSE_FO|50317,M&MFIN25JUL233.5CE,M&M FIN. SERVICES LTD,NSE_FO
BCD_FO|1026389,USDINR2581489.6CE,USDINR,BCD_FO
BCD_FO|1026388,USDINR2581489.4PE,USDINR,BCD_FO
NSE_FO|50315,M&MFIN25JUL223.5PE,M&M FIN. SERVICES LTD,NSE_FO
BCD_FO|1026387,USDINR2581489.4CE,USDINR,BCD_FO
BCD_FO|1026386,USDINR2580889.7PE,USDINR,BCD_FO
NSE_FO|50314,M&MFIN25JUL223.5CE,M&M FIN. SERVICES LTD,NSE_FO
NSE_FO|50313,M&MFIN25JUL213.5PE,M&M FIN. SERVICES LTD,NSE_FO
BCD_FO|1026385,USDINR2580889.7CE,USDINR,BCD_FO
BCD_FO|1026384,USDINR2580889.6PE,USDINR,BCD_FO
NSE_FO|50312,M&MFIN25JUL213.5CE,M&M FIN. SERVICES LTD,NSE_FO
BCD_FO|1026383,USDINR2580889.6CE,USDINR,BCD_FO
BCD_FO|1026382,USDINR2580889.4PE,USDINR,BCD_FO
BCD_FO|1026381,USDINR2580889.4CE,USDINR,BCD_FO
BCD_FO|1026380,USDINR2580189.7PE,USDINR,BCD_FO
